100,Suriname,8.4,..,7.7,..,5.4,..,5.6,..,5.7,..,5.7,..,5.8,..,6.5,..
7,Sweden,7.4,..,8.3,..,8.5,..,10.7,..,10.9,..,11.1,..,11.1,..,11,..
2,Switzerland,9.3,..,10.3,..,10.7,..,10.8,..,11.1,..,11.4,..,11.6,..,12.1,..
155,Syrian Arab Republic,4.6,..,4.1,..,3.4,..,3.3,..,3.6,..,..,..,..,..,..,..
127,Tajikistan,4.3,..,5.2,..,5.8,..,6,..,6,..,6.3,..,6.7,..,6.9,..
154,Tanzania (United Republic of),..,..,..,..,..,..,..,..,7.7,..,6.6,..,6.4,..,6.1,..
83,Thailand,3.2,..,3.4,..,3.6,..,3.8,..,3.5,..,3.5,..,3.7,..,3.8,..
80,The former Yugoslav Republic of Macedonia,3.9,..,8.4,..,7,..,6.6,..,6.4,..,6.5,..,6.2,..,6.1,..
132,Timor-Leste,..,..,1.3,..,1.3,..,1.2,..,1.2,..,1.6,..,2.3,..,3.1,..
165,Togo,3.8,..,4.2,..,6.3,..,6.2,..,6.1,..,6.6,..,6.5,..,6.6,..
98,Tonga,4.1,..,4.6,..,5,..,4.5,..,5,..,5,..,5.2,..,5.9,..
69,Trinidad and Tobago,4,..,4.9,..,5.2,..,5.1,..,5.2,..,5.1,..,5.2,..,6,..
95,Tunisia,5,..,5.4,..,5.9,..,6.4,..,6.6,..,6.9,..,6.8,..,6.7,..
64,Turkey,4.6,..,4.9,..,5.1,..,4.7,..,4.5,..,4.4,..,4.3,..,4.1,..
108,Turkmenistan,6.9,..,9.6,..,5,..,4.9,..,4.8,..,5.2,..,5.5,..,6.3,..
n.a,Tuvalu,24.2,..,11.1,..,14.4,..,13.7,..,13,..,13.8,..,14.7,..,15,..
162,Uganda,8,..,11.3,..,10.8,..,8.6,..,7.8,..,7.2,..,7.3,..,7.3,..
88,Ukraine,5.3,..,6.1,..,6.4,..,6.2,..,6.8,..,6.9,..,6.1,..,6.1,..
34,United Arab Emirates,3.5,..,2.3,..,3.9,..,3.7,..,3.4,..,3.6,..,3.7,..,3.5,..
14,United Kingdom,6,..,7.2,..,8.5,..,8.5,..,8.5,..,9.9,..,9.8,..,9.9,..
13,United States,12.5,..,14.5,..,16.4,..,16.4,..,16.4,..,16.3,..,16.5,..,16.8,..
55,Uruguay,9.1,..,8.6,..,8.4,..,8.3,..,8.9,..,9.1,..,9.1,..,9.2,..
105,Uzbekistan,5.3,..,5.3,..,5.5,..,5.6,..,6,..,5.9,..,5.9,..,6.2,..
138,Vanuatu,1.4,..,1.9,..,2.8,..,2.3,..,2.7,..,5.4,..,3.6,..,3.5,..
78,Venezuela (Bolivarian Republic of),4.4,..,4,..,4.5,..,4.8,..,3.7,..,3.5,..,3.6,..,3.2,..
116,Viet Nam,4.4,..,5,..,5.9,..,5.8,..,6.5,..,6.4,..,5.8,..,5.7,..
178,Yemen,4.1,..,4.6,..,5.2,..,5,..,5.7,..,5.8,..,5.6,..,6,..
144,Zambia,7.9,..,7.4,..,4.6,..,4.6,..,4.8,..,5.1,..,5.1,..,5.4,..
